                              Train                          Validation                                Test
  LSD_KITTI_02_All_Experiments.xlsx  LSD_EUROC_V23_All_Experiments.xlsx LSD_EUROC_MH03_All_Experiments.xlsx
  LSD_KITTI_08_All_Experiments.xlsx   LSD_KITTI_04_All_Experiments.xlsx LSD_EUROC_MH02_All_Experiments.xlsx
LSD_EUROC_MH01_All_Experiments.xlsx LSD_EUROC_MH05_All_Experiments.xlsx   LSD_KITTI_10_All_Experiments.xlsx
 LSD_EUROC_V12_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_00_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_09_All_Experiments.xlsx                                   -                                   -
 LSD_EUROC_V22_All_Experiments.xlsx                                   -                                   -
LSD_EUROC_MH04_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_05_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_01_All_Experiments.xlsx                                   -                                   -
 LSD_EUROC_V11_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_06_All_Experiments.xlsx                                   -                                   -
 LSD_EUROC_V21_All_Experiments.xlsx                                   -                                   -
  LSD_KITTI_07_All_Experiments.xlsx                                   -                                   -
 LSD_EUROC_V13_All_Experiments.xlsx                                   -                                   -
